,title,artist,source,reference,product,income_type,income_period,rate,quantity,amount_received,percent_payable,amount_payable
0,20 Questions - Amy Rigby,Amy Rigby,"AMI En tertainment, Inc. - USA",Amy Rigby,,17362,01/19 - 03/19,0 .00000000,7,0.05,50.00,$ 0.02
1,20 Questions - Amy Rigby,Amy Rigby,DIGI,Amy Rigby,,17364,07/19 - 09/19,0 .00000000,1,0.01,50.00,$ 0.00
2,20 Questions - Amy Rigby,Amy Rigby,Amazon Music Free Tier - USA,Ad-supported,,17578,03/20 - 03/20,0 .00000000,1,0.00,50.00,$ 0.00
3,20 Questions - Amy Rigby,Amy Rigby,DIGI,Ad-supported,,17579,04/20 - 04/20,0 .00000000,1,0.00,50.00,$ 0.00
4,20 Questions - Amy Rigby,Amy Rigby,Amazon Music Unlimited - USA,Amazon Mu sic,,17116,12/19 - 12/19,0 .00000000,18,0.02,50.00,$ 0.01
5,20 Questions - Amy Rigby,Amy Rigby,DIGI,Amazon Mu sic,,17129,01/20 - 01/20,0 .00000000,72,0.11,50.00,$ 0.06
6,20 Questions - Amy Rigby,Amy Rigby,DIGI,Amazon Mu sic,,17532,02/20 - 02/20,0 .00000000,61,0.10,50.00,$ 0.05
7,20 Questions - Amy Rigby,Amy Rigby,DIGI,Amazon Mu sic,,17581,03/20 - 03/20,0 .00000000,34,0.05,50.00,$ 0.03
8,20 Questions - Amy Rigby,Amy Rigby,DIGI,Amazon Mu sic,,17582,04/20 - 04/20,0 .00000000,20,0.03,50.00,$ 0.02
9,20 Questions - Amy Rigby,Amy Rigby,DIGI,Amy Rigby,,18035,05/20 - 05/20,0 .00000000,19,0.03,50.00,$ 0.01
10,20 Questions - Amy Rigby,Amy Rigby,Amazon Prime Music - USA,Amazon Prime,,17112,12/19 - 12/19,0 .00000000,10,0.01,50.00,$ 0.01
11,20 Questions - Amy Rigby,Amy Rigby,DIGI,Amazon Prime,,17114,11/19 - 11/19,0 .00000000,35,0.05,50.00,$ 0.02
12,20 Questions - Amy Rigby,Amy Rigby,DIGI,Amazon Prime,,17130,01/20 - 01/20,0 .00000000,38,0.07,50.00,$ 0.03
13,20 Questions - Amy Rigby,Amy Rigby,DIGI,Amazon Prime,,17534,02/20 - 02/20,0 .00000000,67,0.12,50.00,$ 0.06
14,20 Questions - Amy Rigby,Amy Rigby,DIGI,Amazon Prime,,17571,03/20 - 03/20,0 .00000000,14,0.02,50.00,$ 0.01
15,20 Questions - Amy Rigby,Amy Rigby,DIGI,Amazon Prime,,17580,04/20 - 04/20,0 .00000000,14,0.02,50.00,$ 0.01
16,20 Questions - Amy Rigby,Amy Rigby,DIGI,Amy Rigby,,18033,05/20 - 05/20,0 .00000000,7,0.01,50.00,$ 0.01
17,20 Questions - Amy Rigby,Amy Rigby,"Apple, Inc. - USA",Amy Rigby,,17309,10/19 - 12/19,0 .00000000,174,0.07,50.00,$ 0.04
