Title,,,,,,,,,
"",Product,Income,,Income,Rate,Quantity,Amount,%,Amount
Source Ref #,Number,Type,,Period,,,Received Payable,,Payable
20 Questions - Amy Rigby,,,,,,,,,
"AMI Entertainment, Inc. - USA",,,,,,,,,
17362 Amy Rigby,,DIGI,,01/19 - 03/19,0.00000000,7,0.05,50.00,$ 0.02
17364 Amy Rigby,,DIGI,,07/19 - 09/19,0.00000000,1,0.01,50.00,$ 0.00
Amazon Music Free Tier - USA,,,,,,,,,
17578 Ad-supported,,DIGI,,03/20 - 03/20,0.00000000,1,0.00,50.00,$ 0.00
17579 Ad-supported,,DIGI,,04/20 - 04/20,0.00000000,1,0.00,50.00,$ 0.00
Amazon Music Unlimited - USA,,,,,,,,,
17116 Amazon Music,,DIGI,,12/19 - 12/19,0.00000000,18,0.02,50.00,$ 0.01
17129 Amazon Music,,DIGI,,01/20 - 01/20,0.00000000,72,0.11,50.00,$ 0.06
17532 Amazon Music,,DIGI,,02/20 - 02/20,0.00000000,61,0.10,50.00,$ 0.05
17581 Amazon Music,,DIGI,,03/20 - 03/20,0.00000000,34,0.05,50.00,$ 0.03
17582 Amazon Music,,DIGI,,04/20 - 04/20,0.00000000,20,0.03,50.00,$ 0.02
18035 Amy Rigby,,DIGI,,05/20 - 05/20,0.00000000,19,0.03,50.00,$ 0.01
Amazon Prime Music - USA,,,,,,,,,
17112 Amazon Prime,,DIGI,,12/19 - 12/19,0.00000000,10,0.01,50.00,$ 0.01
17114 Amazon Prime,,DIGI,,11/19 - 11/19,0.00000000,35,0.05,50.00,$ 0.02
17130 Amazon Prime,,DIGI,,01/20 - 01/20,0.00000000,38,0.07,50.00,$ 0.03
17534 Amazon Prime,,DIGI,,02/20 - 02/20,0.00000000,67,0.12,50.00,$ 0.06
17571 Amazon Prime,,DIGI,,03/20 - 03/20,0.00000000,14,0.02,50.00,$ 0.01
17580 Amazon Prime,,DIGI,,04/20 - 04/20,0.00000000,14,0.02,50.00,$ 0.01
18033 Amy Rigby,,DIGI,,05/20 - 05/20,0.00000000,7,0.01,50.00,$ 0.01
"Apple, Inc. - USA",,,,,,,,,
17309 Amy Rigby,,DIGI,,10/19 - 12/19,0.00000000,174,0.07,50.00,$ 0.04
17934 Amy Rigby,,MECH,,01/20 - 03/20,0.00000000,694,0.30,50.00,$ 0.15
CMRRA - Canada,,,,,,,,,
17264 Apple,,DIGI,,07/17 - 09/17,0.00000000,0,0.16,50.00,$ 0.08
17264 Emusic,,DIGI,,07/17 - 09/17,0.00000000,0,0.13,50.00,$ 0.06
